"","roi","ROI","Name","Network","Method","IVs","Coefficient","SE","Statistics","Pvalue","Pvalue_bh","Pvalue_bh_sci","Lower_CI","Upper_CI","Forest_Plot"
"115",NA,NA,NA,NA,"2SRI (Binary)",18,-0.0295479398841536,0.0310212490935266,"-0.953",0.34084019579026,0.898882477133137,"8.99e-01",-0.0903495881074657,0.0312537083391585,"-0.03 (-0.09,  0.03)"
"116","roi310","R_STSvp","Right Area STSv posterior","DMN","MR",3633,0.157345502451628,0.0584328257766783,"2.693",0.00710737896050281,0.042486332008339,"4.25e-02",0.0428171639293385,0.271873840973917," 0.16 ( 0.04,  0.27)"
"117",NA,NA,NA,NA,"2SLS (1)",3676,0.152913393750985,0.0569815942120567,"2.684",0.00730316953397659,0.033871596631719,"3.39e-02",0.0412294690953539,0.264597318406616," 0.15 ( 0.04,  0.26)"
"118",NA,NA,NA,NA,"2SLS (2)",3626,0.146895602739074,0.0569164429058431,"2.581",0.00987946260565176,0.0517041621771877,"5.17e-02",0.0353393746436215,0.258451830834526," 0.15 ( 0.04,  0.26)"
"119",NA,NA,NA,NA,"2SLS (3)",3770,0.159625401706313,0.0583236133980112,"2.737",0.00622178420898958,0.0378218449855167,"3.78e-02",0.0453111194462111,0.273939683966415," 0.16 ( 0.05,  0.27)"
"120",NA,NA,NA,NA,"2SRI (Binary)",3633,0.101415255283595,0.0329886595809657,"3.074",0.00211035327567421,0.283842515578181,"2.84e-01",0.0367574825049022,0.166073028062288," 0.10 ( 0.04,  0.17)"
"121","roi330","R_PGi","Right Area PGi","DMN","MR",7,1.11249636475343,0.368847270502431,"3.016",0.00257157566764007,0.0245675596074679,"2.46e-02",0.389555714568665,1.83543701493819," 1.11 ( 0.39,  1.84)"
"122",NA,NA,NA,NA,"2SLS (1)",14,2.00131375510219,0.404303123407835,"4.950",7.61092566854534e-07,0.00020473390048387,"2.05e-04",1.20887963322283,2.79374787698155," 2.00 ( 1.21,  2.79)"
"123",NA,NA,NA,NA,"2SLS (2)",7,1.08847817853572,0.368393392848909,"2.955",0.00314310397375989,0.0270712503546416,"2.71e-02",0.366427128551858,1.81052922851958," 1.09 ( 0.37,  1.81)"
"124",NA,NA,NA,NA,"2SLS (3)",10,1.41165859904375,0.386460596022063,"3.653",0.000261771651147977,0.00608619088919047,"6.09e-03",0.654195830840507,2.16912136724699," 1.41 ( 0.65,  2.17)"
"125",NA,NA,NA,NA,"2SRI (Binary)",7,0.064147616581552,0.0305400078294384,"2.100",0.0356896857057228,0.488074393123598,"4.88e-01",0.00428920123585274,0.124006031927251," 0.06 ( 0.00,  0.12)"
"126","roi345","R_s32","Right Area s32","DMN","MR",8,-1.0822693797296,0.30549687332483,"-3.543",0.00039934055895511,0.00716150735726164,"7.16e-03",-1.68104325144627,-0.483495508012933,"-1.08 (-1.68, -0.48)"
"127",NA,NA,NA,NA,"2SLS (1)",235,-0.240834768950654,0.12733680906913,"-1.891",0.0586268466841544,0.169576578043414,"1.70e-01",-0.490414914726149,0.00874537682484081,"-0.24 (-0.49,  0.01)"
"128",NA,NA,NA,NA,"2SLS (2)",8,-1.0514359941482,0.30040316590582,"-3.500",0.000468723377054416,0.00823466977516044,"8.23e-03",-1.64022619932361,-0.462645788972793,"-1.05 (-1.64, -0.46)"
"129",NA,NA,NA,NA,"2SLS (3)",71,-0.431116840192358,0.197469281986533,"-2.183",0.0290616195115038,0.115831312052994,"1.16e-01",-0.818156632885963,-0.0440770474987534,"-0.43 (-0.82, -0.04)"
"130",NA,NA,NA,NA,"2SRI (Binary)",8,-0.00965143056676342,0.0269971900453071,"-0.357",0.720719324826151,0.93290275354275,"9.33e-01",-0.0625659230555653,0.0432630619220385,"-0.01 (-0.06,  0.04)"
"131","roi133","L_TE1p","Left Area TE1 posterior","FPN","MR",42,0.986523366487346,0.280563915767901,"3.516",0.000441200973551293,0.00741769136783111,"7.42e-03",0.43661809158226,1.53642864139243," 0.99 ( 0.44,  1.54)"
"132",NA,NA,NA,NA,"2SLS (1)",20,1.33684247331022,0.308000697588108,"4.340",1.44431661499424e-05,0.00043169018825939,"4.32e-04",0.733161106037528,1.94052384058291," 1.34 ( 0.73,  1.94)"
"133",NA,NA,NA,NA,"2SLS (2)",36,0.943866466941944,0.272651253921539,"3.462",0.000540555291105543,0.00848989780736353,"8.49e-03",0.409470009255728,1.47826292462816," 0.94 ( 0.41,  1.48)"
"134",NA,NA,NA,NA,"2SLS (3)",33,0.965151066817661,0.278026440988573,"3.471",0.000521578616327148,0.00856002552678084,"8.56e-03",0.420219242480058,1.51008289115526," 0.97 ( 0.42,  1.51)"
"135",NA,NA,NA,NA,"2SRI (Binary)",42,0.0358444423552474,0.0333619757149901,"1.074",0.282638935290209,0.82648536551257,"8.26e-01",-0.0295450300461332,0.101233914756628," 0.04 (-0.03,  0.10)"
"136","roi263","R_p9-46v","Right Area posterior  9-46v","FPN","MR",24,-0.744844829842401,0.232637546934834,"-3.202",0.00137361785177599,0.0167956000967155,"1.68e-02",-1.20081442183468,-0.288875237850126,"-0.74 (-1.20, -0.29)"
"137",NA,NA,NA,NA,"2SLS (1)",67,-0.843499968104927,0.205132050750264,"-4.112",3.97205369334591e-05,0.000593753381814872,"5.94e-04",-1.24555878757544,-0.44144114863441,"-0.84 (-1.25, -0.44)"
"138",NA,NA,NA,NA,"2SLS (2)",27,-0.737402729090824,0.232810949886113,"-3.167",0.00154638494809949,0.0172035325476068,"1.72e-02",-1.19371219086761,-0.281093267314043,"-0.74 (-1.19, -0.28)"
"139",NA,NA,NA,NA,"2SLS (3)",10,-0.496390966072273,0.27747508025652,"-1.789",0.0736756099155753,0.221026829746726,"2.21e-01",-1.04024212337505,0.0474601912305062,"-0.50 (-1.04,  0.05)"
"140",NA,NA,NA,NA,"2SRI (Binary)",24,-0.00685518243290942,0.0252274244200691,"-0.272",0.785825535710535,0.939161648843611,"9.39e-01",-0.0563009342962449,0.042590569430426,"-0.01 (-0.06,  0.04)"
"141","roi342","R_31a","Right Area 31a","FPN","MR",11,-0.736160739069814,0.268647948019168,"-2.740",0.00615876890419755,0.0394454484578367,"3.94e-02",-1.26271071718738,-0.209610760952245,"-0.74 (-1.26, -0.21)"
"142",NA,NA,NA,NA,"2SLS (1)",8,-1.12068067372972,0.310617143222486,"-3.608",0.000311032532710784,0.0027889250433067,"2.79e-03",-1.72949027444579,-0.511871073013647,"-1.12 (-1.73, -0.51)"
"143",NA,NA,NA,NA,"2SLS (2)",11,-0.722806472412436,0.259512420418759,"-2.785",0.0053665987493744,0.0358220466520741,"3.58e-02",-1.2314508164332,-0.214162128391668,"-0.72 (-1.23, -0.21)"
"144",NA,NA,NA,NA,"2SLS (3)",77,-0.528023483015828,0.203294965570943,"-2.597",0.00941975057597404,0.0469305430481564,"4.69e-02",-0.926481615534876,-0.12956535049678,"-0.53 (-0.93, -0.13)"
"145",NA,NA,NA,NA,"2SRI (Binary)",11,0.0910585825349802,0.0321929460334175,"2.829",0.00467629130393692,0.314480590189758,"3.14e-01",0.0279604083094819,0.154156756760478," 0.09 ( 0.03,  0.15)"
"146","roi123","L_STGa","Left Area STGa","LANG","MR",82,0.625833861831916,0.215538361234202,"2.904",0.00370354399565043,0.0276737037452768,"2.77e-02",0.20337867381288,1.04828904985095," 0.63 ( 0.20,  1.05)"
"147",NA,NA,NA,NA,"2SLS (1)",190,0.385060654638094,0.153040539010064,"2.516",0.0118915568531664,0.049981699898465,"5.00e-02",0.0851011981783686,0.685020111097819," 0.39 ( 0.09,  0.69)"
"148",NA,NA,NA,NA,"2SLS (2)",77,0.603008634479888,0.210217540692288,"2.868",0.00413962750599967,0.029086330107945,"2.91e-02",0.190982254723003,1.01503501423677," 0.60 ( 0.19,  1.02)"
"149",NA,NA,NA,NA,"2SLS (3)",409,0.223563845514342,0.128888542125573,"1.735",0.0828750812331215,0.241719363753522,"2.42e-01",-0.0290576970517811,0.476185388080465," 0.22 (-0.03,  0.48)"
"150",NA,NA,NA,NA,"2SRI (Binary)",82,-0.0480254726093038,0.0324985940108223,"-1.478",0.139469142022364,0.721484600077229,"7.21e-01",-0.111722716870516,0.0156717716519079,"-0.05 (-0.11,  0.02)"
"151","roi139","L_TPOJ1","Left Area
TemporoParietoOcci pital Junction 1","LANG","MR",2,2.24750391012551,0.743350871249174,"3.023",0.0025101664381426,0.0245675596074679,"2.46e-02",0.790536202477129,3.70447161777389," 2.25 ( 0.79,  3.70)"
"152",NA,NA,NA,NA,"2SLS (1)",16,1.1731258282687,0.32625771573113,"3.596",0.000325965881004,0.00282854264484116,"2.83e-03",0.533660705435685,1.81259095110171," 1.17 ( 0.53,  1.81)"
"153",NA,NA,NA,NA,"2SLS (2)",1,2.79165815134763,1.07439344389671,"2.598",0.00939155989071288,0.0501509298164068,"5.02e-02",0.685847001310079,4.89746930138518," 2.79 ( 0.69,  4.90)"
"154",NA,NA,NA,NA,"2SLS (3)",52,0.86019933518155,0.274639373846455,"3.132",0.00174449825260136,0.0162238337491926,"1.62e-02",0.321906162442498,1.3984925079206," 0.86 ( 0.32,  1.40)"
"155",NA,NA,NA,NA,"2SRI (Binary)",2,0.0292688251232198,0.0306126043819376,"0.956",0.339019832351463,0.898882477133137,"8.99e-01",-0.0307318794653779,0.0892695297118175," 0.03 (-0.03,  0.09)"
"156","roi172","L_TGv","Left Area TG Ventral","LANG","MR",24,0.731018574045698,0.249968838947094,"2.924",0.00346457593388414,0.0274109095945539,"2.74e-02",0.241079649709394,1.220957498382," 0.73 ( 0.24,  1.22)"
"157",NA,NA,NA,NA,"2SLS (1)",76,0.607420937407782,0.171380333100926,"3.544",0.000396501308750151,0.00313702506040561,"3.14e-03",0.271515484529967,0.943326390285597," 0.61 ( 0.27,  0.94)"
"158",NA,NA,NA,NA,"2SLS (2)",25,0.624430641450553,0.238575737915629,"2.617",0.00888590304206955,0.0494278356715119,"4.94e-02",0.15682219513592,1.09203908776519," 0.62 ( 0.16,  1.09)"
"159",NA,NA,NA,NA,"2SLS (3)",857,0.0596834637499645,0.0879698225543663,"0.678",0.497511927449925,0.717136368845023,"7.17e-01",-0.112737388456593,0.232104315956522," 0.06 (-0.11,  0.23)"
"160",NA,NA,NA,NA,"2SRI (Binary)",24,-0.00269621272073087,0.0286316878543188,"-0.094",0.924975039930859,0.979599550162996,"9.80e-01",-0.0588143209151957,0.053421895473734," 0.00 (-0.06,  0.05)"
"161","roi309","R_STSdp","Right Area STSd posterior","LANG","MR",3654,0.125759954826425,0.0453683067285678,"2.772",0.00559002647392966,0.0368472196854225,"3.68e-02",0.0368380736384321,0.214681836014418," 0.13 ( 0.04,  0.21)"
"162",NA,NA,NA,NA,"2SLS (1)",3716,0.0862943185819757,0.044445958510792,"1.942",0.052234909236338,0.153410209676015,"1.53e-01",-0.000819760099176614,0.173408397263128," 0.09 ( 0.00,  0.17)"
"163",NA,NA,NA,NA,"2SLS (2)",3655,0.132962825093281,0.0441255830314959,"3.013",0.00259591147155613,0.0247626045131829,"2.48e-02",0.046476682351549,0.219448967835013," 0.13 ( 0.05,  0.22)"
"164",NA,NA,NA,NA,"2SLS (3)",3901,0.0968523026199859,0.0446090457651467,"2.171",0.0299626223604885,0.117740445613751,"1.18e-01",0.00941857292029837,0.184286032319673," 0.10 ( 0.01,  0.18)"
"165",NA,NA,NA,NA,"2SRI (Binary)",3654,0.0650522020043934,0.0257960043343074,"2.522",0.0116758150813172,0.353955902190592,"3.54e-01",0.0144920335091509,0.115612370499636," 0.07 ( 0.01,  0.12)"
"166","roi319","R_TPOJ1","Right Area
TemporoParietoOcci pital Junction 1","LANG","MR",149,0.686463835276075,0.152899824545871,"4.490",7.27730190533442e-06,0.00140377800646609,"1.40e-03",0.386780179166168,0.986147491385982," 0.69 ( 0.39,  0.99)"
"167",NA,NA,NA,NA,"2SLS (1)",158,0.63236125646166,0.151615975874722,"4.171",3.07550834545741e-05,0.000551541163285362,"5.52e-04",0.335193943747205,0.929528569176115," 0.63 ( 0.34,  0.93)"
"168",NA,NA,NA,NA,"2SLS (2)",148,0.691043691986702,0.149853996347041,"4.611",4.08742638323007e-06,0.00109134284432243,"1.09e-03",0.397329859146502,0.984757524826902," 0.69 ( 0.40,  0.98)"
"169",NA,NA,NA,NA,"2SLS (3)",1445,0.0532842700463604,0.0656417982173772,"0.812",0.416973507436849,0.658546821508169,"6.59e-01",-0.0753736544596989,0.18194219455242," 0.05 (-0.08,  0.18)"
"170",NA,NA,NA,NA,"2SRI (Binary)",149,0.0663207246116108,0.026836701058308,"2.471",0.0134634260283658,0.353955902190592,"3.54e-01",0.0137207905373271,0.118920658685894," 0.07 ( 0.01,  0.12)"
"171","roi51","L_1","Left Area 1","SMN","MR",5,-1.16275008345439,0.419695705292318,"-2.770",0.00561611898551049,0.0368472196854225,"3.68e-02",-1.98535366582733,-0.340146501081447,"-1.16 (-1.99, -0.34)"
"172",NA,NA,NA,NA,"2SLS (1)",4,-1.16400813286491,0.429888676009808,"-2.708",0.00679327544402542,0.0320594928849621,"3.21e-02",-2.00658993784413,-0.321426327885686,"-1.16 (-2.01, -0.32)"
"173",NA,NA,NA,NA,"2SLS (2)",5,-1.19317608232539,0.40975537742557,"-2.912",0.00360625192610505,0.0284505544893854,"2.85e-02",-1.99629662207951,-0.390055542571273,"-1.19 (-2.00, -0.39)"
"174",NA,NA,NA,NA,"2SLS (3)",4,-1.47361906930157,0.49780724956393,"-2.960",0.00308704035156063,0.0232779529212275,"2.33e-02",-2.44932127844687,-0.497916860156267,"-1.47 (-2.45, -0.50)"
"175",NA,NA,NA,NA,"2SRI (Binary)",5,-0.00868527761131399,0.0314534778510832,"-0.276",0.782447516850023,0.939161648843611,"9.39e-01",-0.0703340941994371,0.0529635389768091,"-0.01 (-0.07,  0.05)"
"176","roi52","L_2","Left Area 2","SMN","MR",12,-1.03893160594648,0.319625727500935,"-3.250",0.00115896283482762,0.0148457620270776,"1.48e-02",-1.66539803184831,-0.412465180044647,"-1.04 (-1.67, -0.41)"
"177",NA,NA,NA,NA,"2SLS (1)",23,-1.49508149220944,0.315065738225248,"-4.745",2.12741012143212e-06,0.000207308732110222,"2.07e-04",-2.11261033913093,-0.877552645287954,"-1.50 (-2.11, -0.88)"
"178",NA,NA,NA,NA,"2SLS (2)",12,-1.02729066348481,0.309010288991901,"-3.324",0.00089159220560838,0.0112396827110809,"1.12e-02",-1.63295082990894,-0.421630497060684,"-1.03 (-1.63, -0.42)"
"179",NA,NA,NA,NA,"2SLS (3)",48,-0.755472060787605,0.234681079458657,"-3.219",0.00129305238290515,0.0156852876013277,"1.57e-02",-1.21544697652657,-0.295497145048637,"-0.76 (-1.22, -0.30)"
"180",NA,NA,NA,NA,"2SRI (Binary)",12,0.0407903009488711,0.0287641545266591,"1.418",0.156163058909565,0.736980049941631,"7.37e-01",-0.0155874419233807,0.0971680438211229," 0.04 (-0.02,  0.10)"
"181","roi55","L_6mp","Left Area 6mp","SMN","MR",16,-0.759716684176362,0.272081228557553,"-2.792",0.00525211331943872,0.0362261149468978,"3.62e-02",-1.29299589214917,-0.226437476203558,"-0.76 (-1.29, -0.23)"
"182",NA,NA,NA,NA,"2SLS (1)",20,-1.09100857488635,0.251116746374853,"-4.345",1.41678801134245e-05,0.00043169018825939,"4.32e-04",-1.58319739778106,-0.598819751991638,"-1.09 (-1.58, -0.60)"
"183",NA,NA,NA,NA,"2SLS (2)",13,-0.726305999676662,0.267721629282167,"-2.713",0.00668974897230516,0.0405334857684953,"4.05e-02",-1.25104039306971,-0.201571606283615,"-0.73 (-1.25, -0.20)"
"184",NA,NA,NA,NA,"2SLS (3)",11,-1.11386799177711,0.32838820339669,"-3.392",0.000698826812675989,0.0108318155964778,"1.08e-02",-1.75750887043462,-0.470227113119598,"-1.11 (-1.76, -0.47)"
"185",NA,NA,NA,NA,"2SRI (Binary)",16,-0.00721771258270241,0.0273674705562472,"-0.264",0.791985454837379,0.939161648843611,"9.39e-01",-0.0608579548729469,0.0464225297075421,"-0.01 (-0.06,  0.05)"
"186","roi168","L_Ig","Left Insular Granular
Complex","SMN","MR",12,-0.946076333656187,0.264895814764737,"-3.572",0.000357909130883512,0.00687696830054748,"6.88e-03",-1.46527213059507,-0.426880536717303,"-0.95 (-1.47, -0.43)"
"187",NA,NA,NA,NA,"2SLS (1)",14,-1.19949463869336,0.270174265552773,"-4.440",9.1601432168913e-06,0.00036882865215956,"3.69e-04",-1.7290361991768,-0.669953078209925,"-1.20 (-1.73, -0.67)"
"188",NA,NA,NA,NA,"2SLS (2)",12,-0.908358843124457,0.254047212206383,"-3.576",0.000352428820034763,0.00672132106780584,"6.72e-03",-1.40629137904897,-0.410426307199946,"-0.91 (-1.41, -0.41)"
"189",NA,NA,NA,NA,"2SLS (3)",73,-0.620470955287017,0.196810364258557,"-3.153",0.00162656624805385,0.0162238337491926,"1.62e-02",-1.00621926923379,-0.234722641340245,"-0.62 (-1.01, -0.23)"
"190",NA,NA,NA,NA,"2SRI (Binary)",12,0.0163892033272065,0.0302298124263194,"0.542",0.587712658173711,0.93290275354275,"9.33e-01",-0.0428612290283795,0.0756396356827925," 0.02 (-0.04,  0.08)"
"191","roi231","R_1","Right Area 1","SMN","MR",3,-1.37674516103591,0.507039204094342,"-2.715",0.00664254625193663,0.0413662350444472,"4.14e-02",-2.37054200106082,-0.382948321011,"-1.38 (-2.37, -0.38)"
"192",NA,NA,NA,NA,"2SLS (1)",5,-1.72709950519887,0.431785180841895,"-4.000",6.40854512513901e-05,0.000783590290301088,"7.84e-04",-2.57339845964898,-0.880800550748756,"-1.73 (-2.57, -0.88)"
"193",NA,NA,NA,NA,"2SLS (2)",3,-1.29046750177101,0.476899892984172,"-2.706",0.00683148636547674,0.0405334857684953,"4.05e-02",-2.22519129201999,-0.355743711522033,"-1.29 (-2.23, -0.36)"
"194",NA,NA,NA,NA,"2SLS (3)",3,-1.37674516103591,0.507039204094342,"-2.715",0.00664254625193663,0.0378218449855167,"3.78e-02",-2.37054200106082,-0.382948321011,"-1.38 (-2.37, -0.38)"
"195",NA,NA,NA,NA,"2SRI (Binary)",3,0.0257447735364729,0.0314594068180827,"0.818",0.413157944597902,0.93290275354275,"9.33e-01",-0.0359156638269692,0.087405210899915," 0.03 (-0.04,  0.09)"
"196","roi235","R_6mp","Right Area 6mp","SMN","MR",8,-0.92660983691005,0.306171274696097,"-3.026",0.00248570904914937,0.0245675596074679,"2.46e-02",-1.5267055353144,-0.3265141385057,"-0.93 (-1.53, -0.33)"
"197",NA,NA,NA,NA,"2SLS (1)",10,-1.4066822654483,0.307643062685866,"-4.572",4.91169186780446e-06,0.00033031127810985,"3.30e-04",-2.0096626683126,-0.803701862584003,"-1.41 (-2.01, -0.80)"
"198",NA,NA,NA,NA,"2SLS (2)",5,-0.930287937440821,0.369024104924011,"-2.521",0.0117316094665699,0.0580062912513734,"5.80e-02",-1.65357518309188,-0.207000691789759,"-0.93 (-1.65, -0.21)"
"199",NA,NA,NA,NA,"2SLS (3)",2,-1.33893996275271,0.504519655721346,"-2.654",0.00797937407069445,0.0433766562563228,"4.34e-02",-2.32779848796655,-0.350081437538872,"-1.34 (-2.33, -0.35)"
"200",NA,NA,NA,NA,"2SRI (Binary)",8,0.00961191123819434,0.025383233718686,"0.379",0.704931701151532,0.93290275354275,"9.33e-01",-0.0401392268504302,0.0593630493268189," 0.01 (-0.04,  0.06)"
"201","roi2","L_MST","Left Medial Superior
Temporal Area","VIS2","MR",55,0.85251733180274,0.193230184095594,"4.412",1.04370112004914e-05,0.00140377800646609,"1.40e-03",0.473786170975376,1.2312484926301," 0.85 ( 0.47,  1.23)"
"202",NA,NA,NA,NA,"2SLS (1)",98,0.682583234271549,0.169494203879506,"4.027",5.71062633948015e-05,0.00076807924266008,"7.68e-04",0.350374594667717,1.01479187387538," 0.68 ( 0.35,  1.01)"
"203",NA,NA,NA,NA,"2SLS (2)",54,0.79416411678356,0.183883107564487,"4.319",1.5954316107265e-05,0.00170852658719758,"1.71e-03",0.433753225957166,1.15457500760995," 0.79 ( 0.43,  1.15)"
"204",NA,NA,NA,NA,"2SLS (3)",639,0.270928618432717,0.0941309453189257,"2.878",0.00401447981931407,0.029474733410227,"2.95e-02",0.0864319656076226,0.455425271257811," 0.27 ( 0.09,  0.46)"
"205",NA,NA,NA,NA,"2SRI (Binary)",55,-0.00148215179615903,0.0288702478165791,"-0.051",0.959055884406807,0.986657204999948,"9.87e-01",-0.0580678375166541,0.055103533924336," 0.00 (-0.06,  0.06)"
"206","roi16","L_V7","Left Seventh Visual Area","VIS2","MR",19,-1.09793621596697,0.299257980498538,"-3.669",0.000245889033903738,0.00508801154770042,"5.09e-03",-1.6844818577441,-0.511390574189836,"-1.10 (-1.68, -0.51)"
"207",NA,NA,NA,NA,"2SLS (1)",39,-0.856556244613974,0.21474104687769,"-3.989",6.71560463514795e-05,0.000785433759502086,"7.85e-04",-1.27744869649425,-0.435663792733702,"-0.86 (-1.28, -0.44)"
"208",NA,NA,NA,NA,"2SLS (2)",20,-1.03337560199933,0.301077335230456,"-3.432",0.00060289241443397,0.00894290414743722,"8.94e-03",-1.62348717905102,-0.443264024947636,"-1.03 (-1.62, -0.44)"
"209",NA,NA,NA,NA,"2SLS (3)",49,-0.630292899779266,0.246766525652111,"-2.554",0.0106691371594728,0.0504523604659815,"5.05e-02",-1.1139552900574,-0.146630509501128,"-0.63 (-1.11, -0.15)"
"210",NA,NA,NA,NA,"2SRI (Binary)",19,0.0350145974375048,0.030500063604466,"1.148",0.250961465853604,0.793887675471717,"7.94e-01",-0.0247655272272486,0.0947947221022581," 0.04 (-0.02,  0.09)"
"211","roi21","L_LO2","Left Area Lateral Occipital 2","VIS2","MR",24,-0.72359766020729,0.267094877062274,"-2.709",0.00676622431953783,0.0413662350444472,"4.14e-02",-1.24710361924935,-0.200091701165233,"-0.72 (-1.25, -0.20)"
"212",NA,NA,NA,NA,"2SLS (1)",101,-0.466880626720491,0.201169947840173,"-2.321",0.0203276022422263,0.0752944335936446,"7.53e-02",-0.86117372448723,-0.0725875289537519,"-0.47 (-0.86, -0.07)"
"213",NA,NA,NA,NA,"2SLS (2)",21,-0.83800051727795,0.278112151221698,"-3.013",0.00259682743958472,0.0247626045131829,"2.48e-02",-1.38310033367248,-0.292900700883422,"-0.84 (-1.38, -0.29)"
"214",NA,NA,NA,NA,"2SLS (3)",14,-0.937709822486872,0.296435952603102,"-3.163",0.00156833937668196,0.0162238337491926,"1.62e-02",-1.51872428958895,-0.356695355384792,"-0.94 (-1.52, -0.36)"
"215",NA,NA,NA,NA,"2SRI (Binary)",24,-0.0210252534073041,0.02928603216698,"-0.718",0.472801873818984,0.93290275354275,"9.33e-01",-0.0784258764545849,0.0363753696399767,"-0.02 (-0.08,  0.04)"
"216","roi182","R_MST","Right Medial Superior
Temporal Area","VIS2","MR",31,0.76159609644639,0.179462767046599,"4.244",2.23348892105677e-05,0.0020026950658809,"2.00e-03",0.409849073035056,1.11334311985772," 0.76 ( 0.41,  1.11)"
"217",NA,NA,NA,NA,"2SLS (1)",33,0.653620304572471,0.179101216889972,"3.649",0.000264909490504748,0.00245726389468197,"2.46e-03",0.302581919468126,1.00465868967682," 0.65 ( 0.30,  1.00)"
"218",NA,NA,NA,NA,"2SLS (2)",31,0.750773327477997,0.17820442595167,"4.213",2.55959039280536e-05,0.00170852658719758,"1.71e-03",0.401492652612724,1.10005400234327," 0.75 ( 0.40,  1.10)"
"219",NA,NA,NA,NA,"2SLS (3)",122,0.399136863700554,0.146858752363341,"2.718",0.00659135134233265,0.0378218449855167,"3.78e-02",0.111293709068406,0.686980018332702," 0.40 ( 0.11,  0.69)"
"220",NA,NA,NA,NA,"2SRI (Binary)",31,0.00445669932244817,0.0241791323710945,"0.184",0.853762371659108,0.941942972252302,"9.42e-01",-0.042934400124897,0.0518477987697934," 0.00 (-0.04,  0.05)"
"221","roi363","amygdala_left","Amygdala Left","SUBC","MR",105,-0.396410556293212,0.130081107093616,"-3.047",0.0023189478458783,0.0245675596074679,"2.46e-02",-0.651369526196699,-0.141451586389725,"-0.40 (-0.65, -0.14)"
"222",NA,NA,NA,NA,"2SLS (1)",78,-0.593471398482819,0.1453943347293,"-4.082",4.52336909961711e-05,0.000640413835682633,"6.40e-04",-0.878444294552247,-0.308498502413391,"-0.59 (-0.88, -0.31)"
"223",NA,NA,NA,NA,"2SLS (2)",94,-0.392413986414461,0.132321069804253,"-2.966",0.00303344530924584,0.026997663252288,"2.70e-02",-0.651763283230797,-0.133064689598125,"-0.39 (-0.65, -0.13)"
"224",NA,NA,NA,NA,"2SLS (3)",101,-0.411054741028381,0.126778777343754,"-3.242",0.0011926174176324,0.0151245572508836,"1.51e-02",-0.659541144622139,-0.162568337434623,"-0.41 (-0.66, -0.16)"
"225",NA,NA,NA,NA,"2SRI (Binary)",105,-0.000399259917083203,0.0189258431209873,"-0.021",0.98316906178912,0.987853812603515,"9.88e-01",-0.0374939124342183,0.0366953926000519," 0.00 (-0.04,  0.04)"
"226","roi369","diencephalon_left","Diencephalon Left","SUBC","MR",1365,0.191381929792305,0.063641756902244,"3.007",0.00264854731827721,0.0245675596074679,"2.46e-02",0.0666440862639068,0.316119773320703," 0.19 ( 0.07,  0.32)"
"227",NA,NA,NA,NA,"2SLS (1)",1783,0.0668695975227653,0.0551111529686181,"1.213",0.225037694356615,0.438660433202387,"4.39e-01",-0.0411482622957262,0.174887457341257," 0.07 (-0.04,  0.17)"
"228",NA,NA,NA,NA,"2SLS (2)",1370,0.195622040176341,0.0614964176376447,"3.181",0.00147550235408608,0.0171286577626514,"1.71e-02",0.0750890616065574,0.316155018746125," 0.20 ( 0.08,  0.32)"
"229",NA,NA,NA,NA,"2SLS (3)",3241,0.118135015160426,0.0450496796052167,"2.622",0.00875671446397627,0.0452430247305441,"4.52e-02",0.0298376431342013,0.206432387186651," 0.12 ( 0.03,  0.21)"
"230",NA,NA,NA,NA,"2SRI (Binary)",1365,-0.00078190037644142,0.0247911539903755,"-0.032",0.97483929859048,0.987853812603515,"9.88e-01",-0.0493725621975774,0.0478087614446946," 0.00 (-0.05,  0.05)"
